id	type	name	cat	price	delivery	mall	image
NS14063794730	MALL	오뚜기 진라면 순한맛 120g x 5개입	식품>가공식품>라면>봉지라면	3010	2500	굿스탱크	https://shopping-phinf.pstatic.net/main_1406379/14063794730.jpg
NS14072294905	MALL	오뚜기 진라면 순한맛 120g x 5개입	식품>가공식품>라면>봉지라면	2910	2500	쏭미마켓	https://shopping-phinf.pstatic.net/main_1407229/14072294905.jpg
NS14072296268	MALL	오뚜기 진라면 순한맛 120g x 5개입	식품>가공식품>라면>봉지라면	2900	2500	마녀mall	https://shopping-phinf.pstatic.net/main_1407229/14072296268.jpg
NS14084348636	MALL	오뚜기 진라면 순한맛 120g x 5개입	식품>가공식품>라면>봉지라면	2950	2500	4si5	https://shopping-phinf.pstatic.net/main_1408434/14084348636.jpg
NS14084364750	MALL	오뚜기 진라면 순한맛 120g x 5개입	식품>가공식품>라면>봉지라면	2970	2500	라라라몰	https://shopping-phinf.pstatic.net/main_1408436/14084364750.jpg
NS14084365303	MALL	오뚜기 진라면 순한맛 120g x 5개입	식품>가공식품>라면>봉지라면	2940	2500	마성	https://shopping-phinf.pstatic.net/main_1408436/14084365303.jpg
NS14089820939	MALL	오뚜기 진라면 순한맛 120g x 5개입 X 8	식품>가공식품>라면>봉지라면	23210	2500	인터파크	https://shopping-phinf.pstatic.net/main_1408982/14089820939.jpg
NS14091107774	MALL	진라면 오뚜기 진라면 순한맛 120g x 48봉	식품>가공식품>라면>봉지라면	21890	0	G마켓	https://shopping-phinf.pstatic.net/main_1409110/14091107774.jpg
NS14104369609	MALL	오뚜기 진라면 순한맛 120g x 5개입	식품>가공식품>라면>봉지라면	3380	2500	인터파크	https://shopping-phinf.pstatic.net/main_1410436/14104369609.jpg
NS14117520848	MALL	오뚜기 진라면 순한맛 120g x 5개입	식품>가공식품>라면>봉지라면	3000	2500	헬로어서와	https://shopping-phinf.pstatic.net/main_1411752/14117520848.jpg
NS14117525571	MALL	오뚜기 진라면 순한맛 120g x 5개입	식품>가공식품>라면>봉지라면	3000	2500	다이써	https://shopping-phinf.pstatic.net/main_1411752/14117525571.jpg
NS14146684552	MALL	오뚜기 진라면순한맛(멀티팩)120gX40개입(1박스)	식품>가공식품>라면>봉지라면	24220	2500	인터파크	https://shopping-phinf.pstatic.net/main_1414668/14146684552.jpg
NS14177760872	MALL	오뚜기 진라면 순한맛 120g x 5개입_푸드멍냥 재주문337	식품>가공식품>라면>봉지라면	3150	3000	푸드멍냥	https://shopping-phinf.pstatic.net/main_1417776/14177760872.jpg
NS14177761339	MALL	오뚜기 진라면 순한맛 120g x 5개입 X 8EA_푸드멍냥 재주문804	식품>가공식품>라면>봉지라면	24650	3000	푸드멍냥	https://shopping-phinf.pstatic.net/main_1417776/14177761339.jpg
NS14206353762	MALL	오뚜기 진라면순한맛(멀티팩)120gX40개입(1박스) 라면	식품>가공식품>라면>봉지라면	24820	2500	인터파크	https://shopping-phinf.pstatic.net/main_1420635/14206353762.jpg
NS14244236442	MALL	[Kmall] (오뚜기)진라면 순한맛 x 40봉	식품>가공식품>라면>봉지라면	36740	3000	인터파크	https://shopping-phinf.pstatic.net/main_1424423/14244236442.jpg
NS14283516184	MALL	오뚜기)진라면 순한맛 x 40봉	식품>가공식품>라면>봉지라면	41300	3000	인터파크	https://shopping-phinf.pstatic.net/main_1428351/14283516184.jpg
NS14292237504	MALL	오뚜기 진라면 순한맛 120g 40봉	식품>가공식품>라면>봉지라면	32210	2500	바다왕	https://shopping-phinf.pstatic.net/main_1429223/14292237504.jpg
NS14306968344	MALL	오뚜기 진라면 순한맛 120g x 5입 멀티팩	식품>가공식품>라면>봉지라면	3360	2500	제주키친	https://shopping-phinf.pstatic.net/main_1430696/14306968344.jpg
NS14310622857	MALL	오뚜기 진라면 순한맛 120g x 5개입	식품>가공식품>라면>봉지라면	2900	2500	고파몰	https://shopping-phinf.pstatic.net/main_1431062/14310622857.jpg
NS14312530340	MALL	[오뚜기] 진라면 순한맛 멀티팩 120g x 20개	식품>가공식품>라면>봉지라면	15500	0	인터파크	https://shopping-phinf.pstatic.net/main_1431253/14312530340.jpg
